MFN;Columna;Antes;Despues
000231;v5_Nivel_bibliografico;M;m
012661;v5_Nivel_bibliografico;M;m
014056;v5_Nivel_bibliografico;M;m
015545;v5_Nivel_bibliografico;M;m
016249;v5_Nivel_bibliografico;M;m
016308;v5_Nivel_bibliografico;M;m
017040;v5_Nivel_bibliografico;M;m
017146;v5_Nivel_bibliografico;M;m
017340;v5_Nivel_bibliografico;M;m
038496;v5_Nivel_bibliografico;M;m
024677;v5_Nivel_bibliografico;2005-02-24;a
025696;v5_Nivel_bibliografico;ma;m
035188;v5_Nivel_bibliografico;m ;m
035863;v5_Nivel_bibliografico;m ;m
042593;v5_Nivel_bibliografico;m ;m
042738;v5_Nivel_bibliografico;m ;m
042822;v5_Nivel_bibliografico;m ;m
035209;v5_Nivel_bibliografico;a ;a
035443;v5_Nivel_bibliografico;serie;s
035444;v5_Nivel_bibliografico;serie;s
035445;v5_Nivel_bibliografico;serie;s
035452;v5_Nivel_bibliografico;serie;s
035453;v5_Nivel_bibliografico;serie;s
000030;v23_Autor_institucional;^nInternational Development Research Centre^sIDRC^lOttawa^CA;^nInternational Development Research Centre^sIDRC^lOttawa^pCA
000068;v23_Autor_institucional;^nCentro Internacional de Investigaciones para el desarrollo^sCIID^lOttawa^CA;^nCentro Internacional de Investigaciones para el desarrollo^sCIID^lOttawa^pCA
000366;v23_Autor_institucional;^nInstituto Latinoamericano del Fierro y el Acero^ILAFA^lSantiago^pCL;^nInstituto Latinoamericano del Fierro y el Acero^sILAFA^lSantiago^pCL
000389;v23_Autor_institucional;^nCentro Latinoamericano de Documentación Económica y Social^sCLADES^lSantiago^CL;^nCentro Latinoamericano de Documentación Económica y Social^sCLADES^lSantiago^pCL
000432;v23_Autor_institucional;^nSecretaría del Consejo Nacional de Ciencia y Técnica^lBuenos Aires^AR;^nSecretaría del Consejo Nacional de Ciencia y Técnica^lBuenos Aires^pAR
000509;v23_Autor_institucional;^nCorporación de Productores de Fruta de Rio Negro^sCORPOFRUT^lRio Negro^AR;^nCorporación de Productores de Fruta de Rio Negro^sCORPOFRUT^lRio Negro^pAR
