MFN;Columna;Antes;Despues
001452;v5_Nivel_bibliografico;n;m
001886;v5_Nivel_bibliografico;n;m
007070;v29_Reunion_Responsable;Escuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA^<|>^nOrganización Panamericana de la Salud^sOPS;^nEscuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA<|>^nOrganización Panamericana de la Salud^sOPS
007071;v29_Reunion_Responsable;Escuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA^<|>^nOrganización Panamericana de la Salud^sOPS;^nEscuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA<|>^nOrganización Panamericana de la Salud^sOPS
007072;v29_Reunion_Responsable;Escuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA^<|>^nOrganización Panamericana de la Salud^sOPS;^nEscuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA<|>^nOrganización Panamericana de la Salud^sOPS
007073;v29_Reunion_Responsable;Escuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA^<|>^nOrganización Panamericana de la Salud^sOPS;^nEscuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA<|>^nOrganización Panamericana de la Salud^sOPS
007074;v29_Reunion_Responsable;Escuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA^<|>^nOrganización Panamericana de la Salud^sOPS;^nEscuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA<|>^nOrganización Panamericana de la Salud^sOPS
007075;v29_Reunion_Responsable;Escuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA^<|>^nOrganización Panamericana de la Salud^sOPS;^nEscuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA<|>^nOrganización Panamericana de la Salud^sOPS
007076;v29_Reunion_Responsable;Escuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA^<|>^nOrganización Panamericana de la Salud^sOPS;^nEscuela de Ingeniería Sanitaria<|>^nCentro de Investigación de Ingeniería Ambiental^sCIIA<|>^nOrganización Panamericana de la Salud^sOPS
013836;v5_Nivel_bibliografico;n;m
014505;v5_Nivel_bibliografico;n;m
